Loc,Type,Date,Event,Title,Slides,Recording,Event Link
NJ,M,6/29/2018,NJ Blockchain Meetup,Open Source Predictive Analytics,https://www.slideshare.net/bunkertor/open-source-predictive-analytics-pipeline-with-apache-nifi-and-minifi-princeton,,
NJ,M,8/17/2018,Future of Data Meetup Princeton,Hands on Deep Dive with MiNiFi,https://www.slideshare.net/bunkertor/handson-deep-dive-with-minifi-and-apache-mxnet,,
NYC,C,9/13/2018,Strata NYC,IoT Edge Processing,https://conferences.oreilly.com/strata/strata-ny-2018/public/schedule/speaker/185963.html,https://github.com/tspannhw/StrataNYC2018,
Montreal,C,9/27/2018,ApacheCon Montreal,Apache Deep Learning 101,https://www.slideshare.net/bunkertor/apache-deep-learning-101-apachecon-montreal-2018-v031,https://feathercast.apache.org/2018/10/02/apache-deep-learning-101-timothy-spann/,
Orlando,C,10/11/2018,Utilities Analytics Summit,Real-Time AI,,,
Philly,C,11/7/2018,Philly Open Source,Apache Deep Learning 201,https://www.slideshare.net/bunkertor/apache-deep-learning-201-philly-open-source,,
NJ,M,11/14/2018,Future of Data Meetup Princeton,Machine Learning and Deep Learning on HDP 301,https://www.slideshare.net/bunkertor/machine-learning-and-deep-learning-on-hdp-301-and-hdf-32,,
Orlando,C,12/1/2018,Utilities Analytics Summit,Providing AI Solutions to break data silos,https://utilityanalytics.com/webinar/providing-ai-solutions-to-break-the-data-silos-and-accelerate-utilities-into-the-forefront-of-data-driven-decisions/,,
NJ,M,1/24/2019,Chain Data NJ Meetup,Blockchain and Apache NiFi,https://www.slideshare.net/bunkertor/blockchain-and-apache-nifi,,
NJ,M,2/13/2019,Future of Data Meetup Princeton,Machine Learning in the Enterprise,https://www.slideshare.net/bunkertor/machine-learning-in-the-enterprise-2019,,
NJ,M,2/19/2019,Future of Data Meetup Princeton,Machine Learning in Enterprise,https://www.slideshare.net/bunkertor/machine-learning-in-the-enterprise-2019,,
NJ,M,3/4/2019,Future of Data Meetup Princeton,,https://www.slideshare.net/secret/1jQG42kPXiXC3f,,
Barcelona,M,3/20/2019,Future of Data Meetup Barcelona,Edge to AI Deep Dive,https://www.slideshare.net/bunkertor/the-edge-to-ai-deep-dive-barcelona-meetup-march-2019,,
Barcelona,C,3/21/2019,Data Works Summit Barcelona,Apache Deep Learning 201,https://www.slideshare.net/bunkertor/apache-deep-learning-201-barcelona-dws-march-2019,,
Barcelona,C,3/21/2019,Data Works Summit Barcelona,Edge to AI Analytics From Edge,https://www.slideshare.net/bunkertor/edge-to-ai-analytics-from-edge-to-cloud-with-efficient-movement-of-machine-data,,
NJ,M,4/19/2019,Future of Data Meetup Princeton,CDF Edge to AI with CEM,https://www.slideshare.net/bunkertor/cdf-edge-to-ai-with-cem-april-9-2019-princeton-fod-meetup,,
DC,C,5/22/2019,Data Works Summit DC,Apache Deep Learning 202,https://www.slideshare.net/bunkertor/apache-deep-learning-202-washington-dc-dws-2019,,
DC,C,5/23/2019,HBase Conference,Tracking Crime,https://www.slideshare.net/bunkertor/tracking-crime-as-it-occurs-with-apache-phoenix-apache-hbase-and-apache-nifi,,
DC,C,5/23/2019,Data Works Summit DC,Intro to NiFi,https://www.slideshare.net/bunkertor/introduction-to-apache-nifi-dws19-dws-dc-2019,,
DC,C,5/24/2019,Data Works Summit DC,Edge to AI,https://www.slideshare.net/bunkertor/edge-to-ai-analytics-from-edge-to-cloud-with-efficient-movement-of-machine-data-147411788,,
NYC,C,9/12/2019,Strata NYC,Streaming Workshop,https://github.com/tspannhw/StrataNYC2019,,
NJ,M,10/3/2019,Future of Data Meetup Princeton,IoT Edge Data Processing,https://www.slideshare.net/bunkertor/iot-edge-data-processing-with-nvidia-jetson-nano-oct-3-2019,,
Puerto Rico,C,10/24/2019,"Nethope Global Summit, Puerto Rico",NiFi for Non-Profits,https://github.com/tspannhw/NetHopeGlobalSummit2019NiFi/blob/master/NetHope2.pdf,,
NJ,M,12/10/2019,Future of Data Meetup Princeton,Introduction to Apache NiFi 1.10,https://www.slideshare.net/bunkertor/introduction-to-apache-nifi-110,,
NJ,M,12/10/2019,Future of Data Meetup Princeton,Cloudera Operational DB,https://www.slideshare.net/bunkertor/cloudera-operational-db-apache-hbase-apache-phoenix-205082677,,
NJ,M,12/10/2019,Future of Data Meetup Princeton,MMM FLaNK Stack MiNiFi,https://www.slideshare.net/bunkertor/mm-flank-stack-minifi-mxnet-flink-nifi-kudu-kafka,,
NJ,M,4/3/2020,Future of Data Meetup Princeton,Introduction to Apache NiFi 1.14,https://www.slideshare.net/bunkertor/introduction-to-apache-nifi-1114,,
NJ,M,5/7/2020,Meetup,Time Series Analysis,https://www.slideshare.net/bunkertor/time-series-analysis-dataflow,,
Virtual,W,6/11/2020,InRythm Talk,Integrations with Kafka,,https://www.youtube.com/watch?v=QWXXaRE1VUI&ab_channel=InRhythm,
Virtual,C,8/13/2020,Cloudera Event,Real-TimeStreaming ,,https://www.cloudera.com/about/events/virtual-events/realworld-streaming-analytics.html,
NJ,M,9/20/2020,Future of Data Meetup princeton,Flink Flank Fest,,https://www.youtube.com/watch?v=MQQ7qaKKKc8&ab_channel=DatainMotion,
Virtual,C,9/20/2020,ApacheCon Virtual,MiNiFi,,https://www.youtube.com/watch?v=7hSGHzEIIns&ab_channel=TheASF,
Virtual,C,9/29/2020,ApacheCon Virtual,Deep Learning,,https://www.youtube.com/watch?v=h6mS08WDRHY&ab_channel=TheASF,
Virtual,C,9/29/2020,ApacheCon Virtual,Using the FLaNK Stack,https://www.slideshare.net/bunkertor/using-the-flank-stack-for-edge-ai-apache-mxnet-apache-flink-apache-nifi-apache-kafka-apache-kudu,https://www.youtube.com/watch?v=VYNRo0pbFtg&ab_channel=TheASF,
Virtual,C,9/29/2020,ApacheCon Virtual,Incrementally Streaming RDBMS,https://www.slideshare.net/bunkertor/incrementally-streaming-rdbms-data-to-your-data-lake-automagically,https://www.youtube.com/watch?v=nPewLy7Zjkg&ab_channel=TheASF,
Virtual,C,9/29/2020,ApacheCon Virtual,Real-Time Stock Processing with NiFi,https://www.slideshare.net/bunkertor/real-time-stock-processing-with-apache-nifi-apache-flink-and-apache-kafka,https://www.youtube.com/watch?v=sTnyu3fRUwE&ab_channel=TheASF,
Virtual,C,9/29/2020,ApacheCon Virtual,Edge to Cloud,,https://www.youtube.com/watch?v=SVSGU5FdjO8&ab_channel=TheASF,
Virtual,M,9/29/2020,Future of Data Meetup princeton,,,https://www.youtube.com/watch?v=Mv-NNdiGFus&ab_channel=DatainMotion,
Virtual,C,10/9/2020,DevOps Stage,Lets Build a Simple Ingest to Cloud Datawarehouse,https://www.slideshare.net/bunkertor/lets-build-a-simple-ingest-to-cloud-datawarehouse-with-low-code,https://www.youtube.com/watch?v=CWU7JtMf5jc&ab_channel=CodeSpaceITeducation,
Virtual,C,10/22/2020,Flink Forward,,,https://www.youtube.com/watch?v=qyC2UXf1XdY&ab_channel=FlinkForward,
Virtual,M,10/22/2020,Meetup,Using the FLaNK Stack,https://www.slideshare.net/bunkertor/using-the-flank-stack-for-edge-ai-flink-nifi-kafka-kudu,,
Virtual,C,10/22/2020,Beam Summit,Using the FLaNK Stack,https://www.slideshare.net/bunkertor/using-the-flank-stack-for-edge-ai-apache-mxnet-apache-flink-apache-nifi-apache-kafka-apache-kudu-lightning,https://www.youtube.com/watch?v=Isj_gVFsbYc&ab_channel=ApacheBeam,
Virtual,C,10/26/2020,OSS Summit Europe,Learning the Basics of Apache NiFi,https://www.slideshare.net/bunkertor/learning-the-basics-of-apache-nifi-for-iot-oss-europe-2020,https://www.youtube.com/watch?v=HxU73SAKlOI,
Virtual,C,10/27/2020,AI Dev World Virtual,"Cracking the Nut, Solving Edge AI",https://www.slideshare.net/bunkertor/cracking-the-nut-solving-edge-ai-with-apache-tools-and-frameworks,,
Virtual,C,10/27/2020,Flink Forward,Using the MMM FLaNK Stack,,https://www.youtube.com/watch?v=qyC2UXf1XdY&ab_channel=FlinkForward,
Virtual,M,10/29/2020,Future of Data Meetup London,Streaming with Flink,https://www.slideshare.net/bunkertor/cloudera-streaming-with-flink-oct-29-2020-meetup-london,,
Virtual,C,10/29/2020,Nethope Global Summit,,https://nethope.org/articles/the-nethope-global-summit-is-going-virtual/,,
Virtual,W,11/10/2020,Fitness Tech Conf NYC Variis,Fast Data for Fitness,https://www.slideshare.net/bunkertor/fast-data-for-fitness-10-nov-2020,,
Virtual,C,11/25/2020,Big Data Conference,Intro to Flank Stack,,https://www.youtube.com/watch?v=WRAFD88PNFw&ab_channel=DATAMINER,
Virtual,C,12/14/2020,MXNet Day,Using Apache MXNet in Production,https://www.slideshare.net/bunkertor/using-apache-mx-net-in-production-deep-learning-streaming-pipelines,https://youtu.be/-GZjtHUNW58,
Virtual,C,3/3/2021,Microsoft Ignite,NiFi. ,,,
Virtual,C,3/10/2021,BluePrint LDN,Kafka,,,
Virtual,C,3/13/2021,Cloudera Now 2021,Ingest Event Data,,https://www.youtube.com/watch?v=DD1jkY3Gl-w&ab_channel=Cloudera%2CInc.,
Virtual,W,3/16/2021,Demo Jam for Apache NiFi,NiFi,https://www.cloudera.com/about/events/webinars/live-nifi-demo-jam-continues-demystify-apache-nifi-monitoring-capabilities.html,,
Virtual,W,3/17/2021,Cloudera Partner Fest,Build in the Cloud: Delivering Analysis-Ready Data Pipelines From Streaming Data.,,,
Virtual,W,3/23/2021,Cloudera Partner Kick Off,Cloudera Partner Kick Off. Streaming SQL and Data Flow,,,
Virtual,M,3/25/2021,Future of Data Meetup Princeton,Flink SQL for Continuous SQL ETL Apps,https://www.slideshare.net/bunkertor/flink-sql-for-continuous-sql-etl-apps-apache-nifi-devops,https://www.youtube.com/watch?v=RRpJR9C6puA,
Virtual,W,4/7/2021,"Cloudera DataFlow ""Ask the Experts""","Cloudera DataFlow ""Ask the Experts""",https://www.linkedin.com/feed/update/urn:li:activity:6777644559494070272/,,
Virtual,C,4/15/2021,DataCon LA,Real-Time Streaming Pipelines with FLANK,https://www.slideshare.net/sawjd/realtime-streaming-pipelines-with-flank?from_search=114,,
Virtual,C,4/21/2021,Emerging Tech Day,,,,
Virtual,M,4/21/2021,Boston Meetup,"Hello, NiFi",https://www.meetup.com/futureofdata-boston/events/276872501/,,
Virtual,W,4/22/2021,Live Demo Jam,Live Demo Jam Continues: Next-Gen Apache NiFi,https://www.cloudera.com/about/events/webinars/demo-jam-live-expands-nifi-kafka-flink.html,https://www.slideshare.net/bunkertor/live-demo-jam-expands-the-leadingedge-streaming-data-platform-with-nifi-kafka-and-flink,
Virtual,C,4/27/2021,Developer Week Europe,Apache NiFi,https://www.slideshare.net/bunkertor/cracking-the-nut-solving-edge-ai-with-apache-tools-and-frameworks-247119418,,
Virtual,M,5/6/2021,Future of Data Meetup NYC,Continous SQL with SQL Stream Builder,https://www.slideshare.net/bunkertor/continus-sql-with-sql-stream-builder,,
Virtual,C,5/19/2021,Big Data Conference,Intro to Flank Stack,,https://www.youtube.com/watch?v=WRAFD88PNFw&embeds_origin=https%3A%2F%2Fmedia-src.linkedin.com&feature=emb_imp_woyt,
Virtual,W,5/21/2021,Live Demo Jam,Expands the Leading Edge Streaming Data,https://www.slideshare.net/bunkertor/live-demo-jam-expands-the-leadingedge-streaming-data-platform-with-nifi-kafka-and-flink,,
Virtual,C,6/26/2021,AI and IoT Bulgaria,,,https://www.youtube.com/watch?v=zCy8ZoqiehM&ab_channel=MihailMateev,
Virtual,M,7/15/2021,Future of Data Boston Meetup,Introduction to Apache Kafka,https://www.slideshare.net/bunkertor/hello-kafka-an-introduction-to-apache-kafka,https://www.youtube.com/watch?v=lYe06nLZm3A,
Virtual,C,7/23/2021,Data Science Online Camp,Continous SQL with Apache Streaming FLaNK and FLiP,https://www.slideshare.net/bunkertor/continuous-sql-with-apache-streaming-flank-and-flip-250003230,https://www.youtube.com/watch?v=Ff34sy8C7kE&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=67,
Virtual,C,7/29/2021,Conf42: ML,Hail Hydrate from Stream to Lake,https://noti.st/tspannhw/jpsAVU/hail-hydrate-from-stream-to-lake,https://www.youtube.com/watch?v=CfCp_xPvxCg,
Virtual,C,8/18/2021,World Festival,Continous SQL with Apache Streaming FLaNK and FLiP,https://www.slideshare.net/bunkertor/continuous-sql-with-apache-streaming-flank-and-flip-250003230,,
Virtual,C,8/21/2021,ApacheCon Asia,FLank Stack for Streaming Use Cases,,https://www.youtube.com/watch?v=2G-ri_r1Tdk&t=1134s,
Virtual,C,9/20/2021,Music City Tech,Hail Hydrate from Stream to Lake,https://www.slideshare.net/bunkertor/music-city-data-hail-hydrate-from-stream-to-lake,,
Virtual,C,9/20/2021,DataCon LA,Codeless Pipelines with pulsar and flink,https://www.slideshare.net/bunkertor/codeless-pipelines-with-pulsar-and-flink,https://www.youtube.com/watch?v=poYiDnEeKL8&t=4s,
Virtual,C,9/21/2021,ApacheCon,Apache Deep Learning 302,https://www.slideshare.net/bunkertor/apachecon-2021-apache-deep-learning-302,,
Virtual,C,9/21/2021,ApacheCon,Apache NiFi Deep Dive 300,https://www.slideshare.net/bunkertor/apachecon-2021-apache-nifi-deep-dive-300,https://www.youtube.com/watch?v=dQ_IxQMbFRE&t=9s,
Virtual,C,9/21/2021,ApacheCon,Cracking the Nut with Apache Pulsar FLiP,https://www.slideshare.net/bunkertor/apachecon-2021-cracking-the-nut-with-apache-pulsar-flip,,
Virtual,C,9/21/2021,ApacheCon,Smart Transit Real-Time Transit,https://www.slideshare.net/bunkertor/apachecon-2021-smart-transit-realtime-transit-information-with-flip,,
Virtual,C,9/21/2021,ApacheCon,Apache NiFi 101,https://www.slideshare.net/bunkertor/apachecon-2021-apache-nifi-101-introduction-and-best-practices,https://www.youtube.com/watch?v=jeyiCY_YTVk&t=1535s,
Virtual,C,9/24/2021,Scenic City Summit,Realtime Streamin in Any and All Clouds,https://www.slideshare.net/bunkertor/scenic-city-summit-2021-realtime-streaming-in-any-and-all-clouds-hybrid-and-beyond,,
Virtual,C,9/27/2021,Big Data Conference,Realtime Streaming in Any and All Clouds,https://www.slideshare.net/bunkertor/big-data-conference-europe-realtime-streaming-in-any-and-all-clouds-hybrid-and-beyond,,
Virtual,C,9/27/2021,Open Source Summit,Hail Hydrate from Stream to Lake,https://www.slideshare.net/bunkertor/hail-hydrate-from-stream-to-lake-using-open-source,https://www.youtube.com/watch?v=v7bQldwbZQE&list=PLbzoR-pLrL6q8QMGJ4dFnqejkHDm76kJV&index=108&ab_channel=TheLinuxFoundation,
Virtual,W,9/30/2021,SN Webinar,Developing Event Driven apps with Flink SQL,https://www.youtube.com/watch?v=VPN7bCEezgE&ab_channel=StreamNative,,
Virtual,C,10/6/2021,Pulsar Summit Europe,Using the FLiPN Stack for Edge AI,https://www.slideshare.net/bunkertor/using-the-flipn-stack-for-edge-ai-flink-nifi-pulsar,,
Virtual,M,10/13/2021,Cloud Lunch and Learn,Realtime Streaming in Azure,https://www.slideshare.net/bunkertor/cloud-lunch-and-learn-realtime-streaming-in-azure,https://www.youtube.com/watch?v=TP3VQ2rkvzg,
Virtual,C,10/14/2021,Activate Conference,Realtime Cloud Native Open Source Streaming,https://www.slideshare.net/bunkertor/real-time-cloud-native-open-source-streaming-of-any-data-to-apache-solr,https://vimeo.com/628573854,
Virtual,C,10/15/2021,DBCC Data Blaster,FLiP Stack for Cloud Data Lakes,https://www.slideshare.net/bunkertor/dbcc-2021-flip-stack-for-cloud-data-lakes,,
Virtual,C,10/19/2021,DevNetCreate,NiFi Intro,https://developer.cisco.com/devnetcreate/,https://youtu.be/eDy_sFIRN9A,
Virtual,W,10/21/2021,Twitch Streaming,Round Table,https://www.twitch.tv/manningpublications,,
Virtual,C,10/22/2021,Big Mountain Data and Dev Conference,Apache Pulsar with MQTT for Edge Computing,https://www.slideshare.net/bunkertor/big-mountain-data-and-dev-conference-apache-pulsar-with-mqtt-for-edge-computing,https://www.youtube.com/channel/UCG7UFURIYnTiyeBGDBw15SA,
Virtual,C,10/22/2021,Trino Summit,FLiP into Trino,https://www.slideshare.net/bunkertor/flip-into-trino,https://www.starburst.io/resources/trino-summit/?wchannelid=2ug6mgs5ao&amp;wmediaid=aym9rv6ax8&amp;wvideo=aym9rv6ax8,
Virtual,C,10/27/2021,AI Dev World Virtual,"Utilizing Apache Pulsar, Apache NiFi and MiNiFi",https://www.slideshare.net/bunkertor/ai-dev-world-utilizing-apache-pulsar-apache-ni-fi-and-minifi-for-edgeai-iot-at-scale,,
Virtual,C,10/27/2021,InfluxDays,Using FLiP with InfluxDB,https://www.slideshare.net/bunkertor/using-flip-with-influxdb-for-edgeai-iot-at-scale,https://www.youtube.com/watch?v=BlsQyVi-B-Y,
Virtual,C,10/27/2021,Flink Forward,Pulsar and Flink for Unified Streaming,https://www.flink-forward.org/global-2021/conference-program,,
Virtual,C,10/28/2021,API World,Apache NiFi 101,https://www.slideshare.net/bunkertor/api-world-apache-nifi-101,,
Virtual,C,11/2/2021,OSA Conference,Hello Hydrate from Stream to Clickhouse,https://www.slideshare.net/bunkertor/osacon-2021-hello-hydrate-from-stream-to-clickhouse-with-apache-pulsar-and-friends,https://www.youtube.com/watch?v=K9MOiG1oz-0,
Virtual,C,11/10/2021,PASS Data Community Summit,Realtime Streaming in Azure with Apache Pulsar,https://www.slideshare.net/bunkertor/pass-data-community-summit-2021-realtime-streaming-in-azure-with-apache-pulsar,,
Virtual,C,11/15/2021,Automation DevOps Summit,Hail Hydrate from Stream to Lake,https://www.slideshare.net/bunkertor/automation-dev-ops-summit-hail-hydrate-from-stream-to-lake,,
Virtual,C,11/19/2021,Porto Tech Hub,Hail Hydrate from Stream to Lake,https://www.slideshare.net/bunkertor/portotechhub-hail-hydrate-from-stream-to-lake-with-apache-pulsar-and-friends,https://www.youtube.com/watch?v=vDfKKNLypnA&t=7s,
Virtual,C,12/3/2021,DataScience Online Camp,Using the FLiPN Stack for Edge AI,https://www.slideshare.net/bunkertor/data-science-online-camp-using-the-flipn-stack-for-edge-ai-flink-nifi-pulsar,,
Virtual,M,1/13/2022,Meetup,Event driven with pulsar,,https://www.youtube.com/watch?v=mg7RLwV3x1M,
Virtual,C,1/21/2022,Data Minutes,Apache Pulsar with MQTT for Edge Computing,https://www.slideshare.net/bunkertor/data-minutes-2-apache-pulsar-with-mqtt-for-edge-computing-lightning-2022,https://www.youtube.com/watch?v=sPGyl6XgGHw&t=10s,
Virtual,C,1/29/2022,DevFest UK,Using Apache NiFi with Apache Pulsar for Fast Data,https://www.slideshare.net/bunkertor/devfest-uk-ireland-using-apache-nifi-with-apache-pulsar-for-fast-data-onramp-2022,,
Virtual,C,2/10/2022,Scylla Summit,FLiP Into ScyllaDB,https://www.slideshare.net/bunkertor/streamnative-flip-into-scylladb-scylla-summit-2022,,
Virtual,C,2/12/2022,ElasticSearch Conference,Ingesting Data at Scale into ElasticSearch,https://www.slideshare.net/bunkertor/ingesting-data-at-scale-into-elasticsearch-with-apache-pulsar,,
Virtual,C,2/22/2022,Pulsar Summit Asia,Apache Pulsar with MQTT for Edge Computing,https://www.slideshare.net/bunkertor/pulsar-summit-asia-2021-apache-pulsar-with-mqtt-for-edge-computing,https://www.youtube.com/watch?v=vV1E6KDF5-0&t=2s,
Virtual,C,2/22/2022,Pulsar Summit Asia,Building Modern Streaming apps,,https://www.youtube.com/watch?v=VhVs6fuf7W8&t=296s,
Virtual,C,2/22/2022,Pulsar Summit Asia,Using the FLiPN Stack for Edge AI,https://www.slideshare.net/bunkertor/using-the-flipn-stack-for-edge-ai-flink-nifi-pulsar-251224832,,
Virtual,C,2/22/2022,Pulsar Summit Asia,Apache Pulsar 101 Development,,https://www.youtube.com/watch?v=Z9zAnKBcGKI&t=5s,
Virtual,W,2/22/2022,ADT Mag Influx Webinar,Using FLiP with InfluxDB,https://www.slideshare.net/bunkertor/using-flip-with-influxdb-for-edgeai-iot-at-scale-2022-251225727,,
Virtual,M,3/11/2022,Pulsar Meetup,Apache Pulsar + Apache NiFi for Cloud Data Lake,https://www.slideshare.net/bunkertor/march-sn-meetup-apache-pulsar-apache-nifi-for-cloud-data-lake,,
Virtual,C,3/11/2022,SQL Bits,Apache NiFi 101 Introduction and Best Practices,https://www.slideshare.net/bunkertor/sql-bits-apache-nifi-101-introduction-and-best-practices,,
Virtual,C,3/18/2022,Python Web Conference,Apache Pulsar Development 101 with Python,https://www.slideshare.net/bunkertor/python-web-conference-2022-apache-pulsar-development-101-with-python-f-lippy,https://www.youtube.com/watch?v=H88re4p-DoU&t=2036s,
Virtual,M,3/30/2022,Open Source Bristol,Apache Pulsar,https://www.slideshare.net/bunkertor/open-source-bristol-30-march-2022,https://www.youtube.com/watch?v=ZjQmP17JgEs&list=PLlmpIaH7URGXvyslOrhSG8KAfZf56vtr3&index=50,
NYC,C,4/1/2022,ML Conf NYC,Event Driven Machine Learning at Scale,https://www.slideshare.net/bunkertor/mlconf-2022-nyc-eventdriven-machine-learning-at-scalepdf,,
Virtual,W,4/7/2022,Live Demo Jam Expands,Flink,,https://www.youtube.com/watch?v=Ss2ace7lYXs&t=89s,
Atlanta,C,4/14/2022,DevNexus,Designing Event Driven Applications,https://www.slideshare.net/bunkertor/designing-eventdriven-applications-with-apache-nifi-apache-flink-apache-spark-and-apache-pulsar,,
Virtual,C,4/20/2022,Philly ETE,Deep Dive into Building Streaming Apps with Apache Pulsar,https://www.slideshare.net/bunkertor/deep-dive-into-building-streaming-applications-with-apache-pulsar-1pdf,https://www.youtube.com/watch?v=vJdbdTemBnQ&t=407s,
Virtual,C,4/28/2022,Conf42 Cloud Native,Apache Pulsar Development 101,https://www.youtube.com/watch?v=RFdafFaLvBw&t=1306s&ab_channel=Conf42,,
Virtual,M,5/4/2022,Clickhouse Meetup,Fast Streaming into Clickhouse with Apache Pulsar,https://www.slideshare.net/bunkertor/fast-streaming-into-clickhouse-with-apache-pulsar-pdf,https://www.youtube.com/watch?v=Sg7I2GHYmtg&t=7s&ab_channel=Altinity,
Virtual,C,5/16/2022,Data on Kubernetes Day @ Kubecon CloudNativeCon EU 2022,Serverless Event Streaming Apps as Functions on K8,https://www.slideshare.net/bunkertor/serverless-event-streaming-applications-as-functionson-k8,,
Valencia,C,5/17/2022,Batch + HP Day,Fast Data on Ramp with Apache Pulsar on K8,https://www.slideshare.net/bunkertor/fast-data-onramp-with-apache-pulsar-on-k8pdf,,
Barcelona,C,5/26/2022,Spring I/O Barcelona,The Dream Stream Team for Pulsar and Spring,https://www.slideshare.net/bunkertor/the-dream-stream-team-for-pulsar-and-spring,https://www.youtube.com/watch?v=kFfN7Ao5lMw&t=1s,
Virtual,C,6/15/2022,Budapest Data Forum,Unified Messaging and Data Streaming 101,https://www.slideshare.net/bunkertor/unified-messaging-and-data-streaming-101,,
Virtual,W,6/21/2022,MasterClass,ScyllaDB+Pulsar,https://www.scylladb.com/2022/06/09/distributed-data-systems-masterclass-what-to-expect/,,
Virtual,C,7/25/2022,Code on the Beach,Streaming Apps with Apache Pulsar,https://www.slideshare.net/bunkertor/codeonthebeachstreaming-applications-with-apache-pulsarpdf,https://www.youtube.com/watch?v=gCroAjk5D_Q&t=1713s,
Virtual,M,7/26/2022,SF Big Analytics Meetup,Modern Data Processing Big Data,https://www.slideshare.net/bunkertor/modern-data-processing-big-data-analytical-streaming-data-pipelines,,
